                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3093,                 3.2909,                  1.257,                0.01357,                0.02326,                0.00494,                0.00216,                 2.2238,                 5.3339,                 2.2361,             0.00055062,             0.00055062,             0.00055062
                      2,                 1.3727,                 2.5052,                 1.3028,                0.11005,                0.17796,                0.04051,                0.01601,                  2.284,                 5.1239,                 2.0762,              0.0010698,              0.0010698,              0.0010698
                      3,                 1.3503,                  2.138,                 1.2991,                 0.1371,                0.22365,                0.11354,                0.04696,                 2.3135,                 3.3446,                 2.0887,              0.0015523,              0.0015523,              0.0015523
                      4,                 1.3188,                 1.9186,                 1.2721,                0.25931,                 0.1258,                0.11096,                0.04519,                 2.3635,                 3.3072,                 2.1772,               0.001502,               0.001502,               0.001502
                      5,                 1.3124,                 1.7769,                 1.2756,                0.29865,                0.34946,                0.24278,                0.10909,                 2.0345,                 2.7971,                 1.8376,               0.001502,               0.001502,               0.001502
                      6,                  1.245,                 1.6669,                 1.2481,                0.36103,                0.24551,                0.22331,                0.09041,                 2.1305,                 2.5122,                 1.9142,               0.001447,               0.001447,               0.001447
                      7,                 1.2169,                 1.5431,                  1.226,                0.24426,                0.20756,                0.12582,                0.06569,                 2.1743,                 3.0469,                 1.9213,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.1784,                 1.4814,                 1.2048,                0.34358,                0.23371,                0.20389,                0.09803,                 2.0858,                 2.9122,                  1.914,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.1584,                 1.4238,                 1.2013,                0.33084,                0.44079,                0.34574,                0.15974,                 1.9978,                  2.313,                 1.8255,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1187,                 1.3708,                 1.1789,                 0.3923,                0.33527,                0.31401,                0.13958,                 2.0883,                 2.3217,                 1.8837,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.1199,                 1.3455,                 1.1735,                0.47655,                0.37678,                 0.3808,                0.18492,                 1.9764,                 2.3452,                 1.8021,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0964,                 1.2973,                 1.1562,                0.40312,                0.44376,                0.36996,                 0.1838,                 1.9331,                 2.0269,                 1.7506,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0728,                 1.2417,                 1.1566,                0.49294,                0.41696,                0.41961,                0.19347,                 2.0321,                 1.9825,                 1.7945,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.0293,                  1.143,                 1.1037,                0.52762,                 0.4774,                0.48217,                0.23899,                 1.8438,                 1.8684,                 1.6562,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0302,                 1.1556,                 1.1165,                0.53949,                0.48759,                 0.4982,                0.23617,                 1.8839,                 1.8713,                 1.7281,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.0051,                 1.0809,                 1.0983,                0.52534,                0.46433,                0.47142,                0.22868,                 1.8218,                 1.9346,                 1.6342,             0.00089685,             0.00089685,             0.00089685
                     17,                0.96158,                 1.0427,                  1.091,                0.41945,                0.47334,                0.45051,                0.22459,                 1.8601,                 1.9514,                 1.7126,             0.00084184,             0.00084184,             0.00084184
                     18,                0.97693,                 1.0557,                 1.0819,                0.56949,                0.49014,                0.50906,                0.24698,                 1.8997,                 1.8383,                 1.6768,             0.00078682,             0.00078682,             0.00078682
                     19,                0.97757,                 1.0518,                 1.0881,                 0.5709,                0.51468,                0.55122,                0.26084,                 1.7987,                 1.7945,                 1.6202,             0.00073181,             0.00073181,             0.00073181
                     20,                0.94283,                 1.0112,                 1.0658,                0.60977,                0.49765,                0.56921,                0.28839,                 1.7979,                 1.6561,                 1.5779,              0.0006768,              0.0006768,              0.0006768
                     21,                0.92808,                0.93065,                 1.0672,                0.62295,                0.53695,                0.56878,                0.28833,                 1.7814,                 1.6573,                 1.6031,             0.00062179,             0.00062179,             0.00062179
                     22,                0.91831,                0.85991,                  1.054,                0.57959,                0.55793,                0.57236,                0.28411,                 1.8447,                 1.6407,                 1.6104,             0.00056678,             0.00056678,             0.00056678
                     23,                0.89525,                0.82691,                 1.0379,                0.67349,                0.50759,                0.57428,                0.29915,                 1.7952,                 1.5695,                 1.5956,             0.00051177,             0.00051177,             0.00051177
                     24,                0.86339,                0.78008,                  1.021,                 0.6189,                0.53093,                0.57914,                0.28687,                 1.8376,                  1.659,                 1.6368,             0.00045676,             0.00045676,             0.00045676
                     25,                0.86041,                0.76157,                 1.0174,                0.62338,                0.56346,                0.59011,                0.29641,                 1.8125,                  1.601,                 1.6173,             0.00040175,             0.00040175,             0.00040175
                     26,                0.85424,                0.74359,                 1.0149,                0.64884,                0.56396,                0.60752,                0.30634,                 1.7859,                 1.5716,                 1.5666,             0.00034674,             0.00034674,             0.00034674
                     27,                0.84079,                0.71551,                 1.0113,                0.56442,                 0.6409,                0.63089,                0.31764,                 1.7677,                 1.5185,                  1.567,             0.00029172,             0.00029172,             0.00029172
                     28,                0.81184,                0.66018,                0.99295,                0.72674,                0.52148,                0.62802,                0.32757,                 1.7253,                 1.5527,                 1.5186,             0.00023671,             0.00023671,             0.00023671
                     29,                0.79903,                0.67106,                0.98566,                0.69076,                0.60828,                0.64065,                0.33426,                 1.7357,                 1.5413,                 1.5334,              0.0001817,              0.0001817,              0.0001817
                     30,                0.77466,                0.63258,                0.98076,                 0.7242,                0.58828,                0.66136,                0.33567,                 1.7165,                 1.5379,                 1.5186,             0.00012669,             0.00012669,             0.00012669
